id,intended_urgency,intended_emotion,evaluated_urgency,evaluated_emotion,urgency_changed,emotion_changed,any_changed
1,Low,Low,High,Medium,True,True,True
2,Low,Low,High,Medium,True,True,True
3,Low,Low,Medium,Low,True,False,True
4,Low,Low,High,Medium,True,True,True
5,Low,Low,High,High,True,True,True
6,Low,Low,High,Medium,True,True,True
7,Low,Low,High,Medium,True,True,True
8,Low,Low,Medium,Low,True,False,True
9,Low,Low,High,Medium,True,True,True
10,Low,Low,Medium,Low,True,False,True
11,Low,Low,High,Medium,True,True,True
12,Low,Low,High,Medium,True,True,True
13,Low,Low,High,High,True,True,True
14,Low,Low,High,Low,True,False,True
15,Low,Low,High,Medium,True,True,True
16,Low,Low,High,Medium,True,True,True
17,Low,Low,Medium,Medium,True,True,True
18,Low,Low,High,Medium,True,True,True
19,Low,Low,High,High,True,True,True
20,Low,Low,High,High,True,True,True
21,Low,Low,High,High,True,True,True
22,Low,Low,Medium,Medium,True,True,True
23,Low,Low,High,High,True,True,True
24,Low,Low,High,Medium,True,True,True
25,Low,Low,High,High,True,True,True
26,Low,Low,High,Medium,True,True,True
27,Low,Low,High,Medium,True,True,True
28,Low,Low,Medium,Low,True,False,True
29,Low,Low,High,Medium,True,True,True
30,Low,Low,High,Medium,True,True,True
31,Low,Low,High,High,True,True,True
32,Low,Low,High,High,True,True,True
33,Low,Low,High,Medium,True,True,True
34,Low,Low,High,High,True,True,True
35,Low,Low,High,High,True,True,True
36,Low,Low,High,High,True,True,True
37,Low,Low,High,Medium,True,True,True
38,Low,Low,High,High,True,True,True
39,Low,Low,High,Medium,True,True,True
40,Low,Low,High,Medium,True,True,True
41,Low,Low,High,Medium,True,True,True
42,Low,Low,High,Medium,True,True,True
43,Low,Low,High,Medium,True,True,True
44,Low,Low,High,Medium,True,True,True
45,Low,Low,High,Medium,True,True,True
46,Low,Low,High,Medium,True,True,True
47,Low,Low,High,Medium,True,True,True
48,Low,Low,High,Medium,True,True,True
49,Low,Low,High,Medium,True,True,True
50,Low,Low,High,Medium,True,True,True
51,Low,Low,High,Medium,True,True,True
52,Low,Low,Medium,Low,True,False,True
53,Low,Low,High,Medium,True,True,True
54,Low,Low,High,Medium,True,True,True
55,Low,Low,High,Medium,True,True,True
56,Low,Low,High,High,True,True,True
57,Low,Low,High,Medium,True,True,True
58,Low,Low,Medium,Medium,True,True,True
59,Low,Low,High,Medium,True,True,True
60,Low,Low,Medium,Low,True,False,True
61,Low,Low,High,Medium,True,True,True
62,Low,Low,Medium,Low,True,False,True
63,Low,Low,Medium,Low,True,False,True
64,Low,Low,High,Medium,True,True,True
65,Low,Low,High,Medium,True,True,True
66,Low,Low,High,Medium,True,True,True
67,Low,Low,Medium,Medium,True,True,True
68,Low,Low,Medium,Low,True,False,True
69,Low,Low,High,Medium,True,True,True
70,Low,Low,High,Medium,True,True,True
71,Low,Low,High,Medium,True,True,True
72,Low,Low,Medium,Low,True,False,True
73,Low,Low,High,Medium,True,True,True
74,Low,Low,Medium,Low,True,False,True
75,Low,Low,High,Medium,True,True,True
76,Low,Low,High,Medium,True,True,True
77,Low,Low,High,High,True,True,True
78,Low,Low,Medium,Low,True,False,True
79,Low,Low,High,Medium,True,True,True
80,Low,Low,High,Medium,True,True,True
81,Low,Low,Medium,Low,True,False,True
82,Low,Low,Medium,Low,True,False,True
83,Low,Low,High,Medium,True,True,True
84,Low,Low,Medium,Low,True,False,True
85,Low,Low,High,Medium,True,True,True
86,Low,Low,High,Medium,True,True,True
87,Low,Low,High,Medium,True,True,True
88,Low,Low,Medium,Medium,True,True,True
89,Low,Low,High,Medium,True,True,True
90,Low,Low,High,Medium,True,True,True
91,Low,Low,High,Medium,True,True,True
92,Low,Low,High,Medium,True,True,True
94,Low,Low,High,Medium,True,True,True
95,Low,Low,High,Medium,True,True,True
96,Low,Low,High,Medium,True,True,True
97,Low,Low,High,Medium,True,True,True
98,Low,Low,High,Medium,True,True,True
99,Low,Low,High,Medium,True,True,True
100,Low,Low,High,Medium,True,True,True
101,Low,Low,High,Medium,True,True,True
102,Low,Low,High,Medium,True,True,True
103,Low,Low,Medium,Medium,True,True,True
104,Low,Low,High,Medium,True,True,True
105,Low,Low,High,Medium,True,True,True
106,Low,Low,Medium,Low,True,False,True
107,Low,Low,High,Medium,True,True,True
108,Low,Low,Medium,Medium,True,True,True
110,Low,Low,Medium,Low,True,False,True
111,Low,Low,High,High,True,True,True
112,Low,Low,High,Medium,True,True,True
113,Low,Low,Medium,Low,True,False,True
114,Low,Low,High,High,True,True,True
115,Low,Low,High,Medium,True,True,True
116,Low,Low,High,Medium,True,True,True
117,Low,Low,High,Medium,True,True,True
118,Low,Low,Medium,Low,True,False,True
119,Low,Low,High,Medium,True,True,True
120,Low,Low,High,Medium,True,True,True
121,Low,Low,High,Low,True,False,True
122,Low,Low,High,Medium,True,True,True
123,Low,Low,Medium,Medium,True,True,True
124,Low,Low,Medium,Medium,True,True,True
125,Low,Low,High,Medium,True,True,True
126,Low,Low,Medium,Low,True,False,True
127,Low,Low,High,Medium,True,True,True
128,Low,Low,High,Medium,True,True,True
129,Low,Low,High,Medium,True,True,True
130,Low,Low,High,Medium,True,True,True
131,Low,Low,High,Medium,True,True,True
132,Low,Low,High,Medium,True,True,True
133,Low,Low,High,Medium,True,True,True
134,Low,Low,High,Medium,True,True,True
135,Low,Low,High,Medium,True,True,True
136,Low,Low,Medium,Medium,True,True,True
137,Low,Low,High,Medium,True,True,True
138,Low,Low,Low,Medium,False,True,True
139,Low,Low,High,Medium,True,True,True
140,Low,Low,High,High,True,True,True
142,Low,Low,High,Medium,True,True,True
143,Low,Low,High,Medium,True,True,True
144,Low,Low,High,Medium,True,True,True
145,Low,Low,High,Medium,True,True,True
146,Low,Low,Medium,Low,True,False,True
147,Low,Low,High,Medium,True,True,True
148,Low,Low,High,Medium,True,True,True
149,Low,Low,High,Medium,True,True,True
150,Low,Low,High,Medium,True,True,True
151,Low,Low,Medium,Low,True,False,True
152,Low,Low,Medium,Low,True,False,True
153,Low,Low,High,Medium,True,True,True
154,Low,Low,High,Medium,True,True,True
155,Low,Low,Medium,Medium,True,True,True
156,Low,Low,High,High,True,True,True
157,Low,Low,Low,Medium,False,True,True
158,Low,Low,High,Low,True,False,True
159,Low,Low,High,Medium,True,True,True
160,Low,Low,High,Low,True,False,True
161,Low,Low,Medium,Low,True,False,True
162,Low,Low,Low,Medium,False,True,True
163,Low,Low,Medium,Medium,True,True,True
164,Low,Low,High,Medium,True,True,True
165,Low,Low,Medium,Medium,True,True,True
166,Low,Low,High,High,True,True,True
167,Low,Low,High,Medium,True,True,True
168,Low,Low,High,Medium,True,True,True
169,Low,Low,High,Medium,True,True,True
170,Low,Low,High,Medium,True,True,True
171,Low,Low,High,Medium,True,True,True
172,Low,Low,High,Medium,True,True,True
174,Low,Low,High,Medium,True,True,True
175,Low,Low,Medium,Medium,True,True,True
176,Low,Low,High,Low,True,False,True
177,Low,Low,Medium,Low,True,False,True
178,Low,Low,High,Medium,True,True,True
179,Low,Low,High,Medium,True,True,True
180,Low,Low,High,Medium,True,True,True
181,Low,Low,High,Medium,True,True,True
182,Low,Low,High,Medium,True,True,True
183,Low,Low,Medium,Medium,True,True,True
184,Low,Low,High,Medium,True,True,True
185,Low,Low,High,High,True,True,True
186,Low,Low,High,Medium,True,True,True
187,Low,Low,High,Medium,True,True,True
188,Low,Low,High,Medium,True,True,True
189,Low,Low,High,Medium,True,True,True
190,Low,Low,High,Medium,True,True,True
191,Low,Low,High,Medium,True,True,True
192,Low,Low,Medium,Medium,True,True,True
193,Low,Low,High,Medium,True,True,True
194,Low,Low,Medium,Medium,True,True,True
195,Low,Low,Medium,Medium,True,True,True
196,Low,Low,High,Medium,True,True,True
197,Low,Low,High,Medium,True,True,True
198,Low,Low,High,Medium,True,True,True
199,Low,Low,Medium,Low,True,False,True
200,Low,Low,High,High,True,True,True
201,Low,Low,High,Low,True,False,True
202,Low,Low,High,Medium,True,True,True
203,Low,Low,Medium,Medium,True,True,True
204,Low,Low,Medium,Low,True,False,True
205,Low,Low,High,Medium,True,True,True
206,Low,Low,Medium,Low,True,False,True
207,Low,Low,High,Medium,True,True,True
208,Low,Low,High,Medium,True,True,True
209,Low,Low,High,Medium,True,True,True
210,Low,Low,Medium,Medium,True,True,True
211,Low,Low,High,Medium,True,True,True
212,Low,Low,High,Medium,True,True,True
213,Low,Low,Medium,Low,True,False,True
214,Low,Low,High,Medium,True,True,True
215,Low,Low,Medium,Medium,True,True,True
216,Low,Low,High,Medium,True,True,True
217,Low,Low,High,Medium,True,True,True
218,Low,Low,High,Medium,True,True,True
219,Low,Low,High,Medium,True,True,True
220,Low,Low,High,Medium,True,True,True
221,Low,Low,High,Medium,True,True,True
222,Low,Low,High,Medium,True,True,True
223,Low,Low,High,Medium,True,True,True
224,Low,Low,High,Medium,True,True,True
225,Low,Low,High,Medium,True,True,True
226,Low,Low,High,Medium,True,True,True
227,Low,Low,Medium,Medium,True,True,True
228,Low,Low,High,Medium,True,True,True
229,Low,Low,High,Low,True,False,True
230,Low,Low,High,Medium,True,True,True
231,Low,Low,Medium,Medium,True,True,True
232,Low,Low,Medium,Medium,True,True,True
233,Low,Low,High,Low,True,False,True
234,Low,Low,High,Medium,True,True,True
235,Low,Low,High,Medium,True,True,True
236,Low,Low,High,Medium,True,True,True
237,Low,Low,High,Medium,True,True,True
238,Low,Low,Medium,Medium,True,True,True
239,Low,Low,High,Low,True,False,True
240,Low,Low,Medium,Medium,True,True,True
241,Low,Low,High,Medium,True,True,True
242,Low,Low,High,Medium,True,True,True
243,Low,Low,High,Medium,True,True,True
244,Low,Low,High,Medium,True,True,True
245,Low,Low,High,Medium,True,True,True
246,Low,Low,High,High,True,True,True
248,Low,Low,Medium,Medium,True,True,True
249,Low,Low,High,Medium,True,True,True
250,Low,Low,High,Medium,True,True,True
251,Low,Low,High,Medium,True,True,True
252,Low,Low,Medium,Medium,True,True,True
253,Low,Low,High,Medium,True,True,True
254,Low,Low,High,Medium,True,True,True
255,Low,Low,High,Medium,True,True,True
256,Low,Low,High,Medium,True,True,True
257,Low,Low,High,Medium,True,True,True
258,Low,Low,High,Medium,True,True,True
259,Low,Low,High,Medium,True,True,True
260,Low,Low,High,Medium,True,True,True
261,Low,Low,High,Medium,True,True,True
262,Low,Low,High,Medium,True,True,True
263,Low,Low,High,Medium,True,True,True
264,Low,Low,High,Medium,True,True,True
265,Low,Low,High,High,True,True,True
266,Low,Low,High,Medium,True,True,True
267,Low,Low,High,Medium,True,True,True
269,Low,Low,High,Medium,True,True,True
270,Low,Low,Medium,Low,True,False,True
271,Low,Low,Medium,Low,True,False,True
272,Low,Low,High,High,True,True,True
273,Low,Low,High,Medium,True,True,True
274,Low,Low,High,Medium,True,True,True
275,Low,Low,High,Medium,True,True,True
276,Low,Low,High,Medium,True,True,True
